Revista Brasileira de Enfermagem,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7167&lng=en&nrm=iso,https://doaj.org/toc/a5c450a7ac20454481eba47e0ca1a596,1983,,0034-7167,1984-0446,nursing,"English, Portuguese, Spanish",Associação Brasileira de Enfermagem,Brazil,,,CC BY,,http://www.scielo.br/revistas/reben/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000601017&lng=en&nrm=iso&tlng=en,No,,Double blind peer review,http://www.scielo.br/revistas/reben/iinstruc.htm,No,,http://www.scielo.br/revistas/reben/iinstruc.htm,http://www.scielo.br/revistas/reben/iedboard.htm,http://www.scielo.br/revistas/reben/iinstruc.htm,21,Yes,http://www.scielo.br/revistas/reben/iinstruc.htm,1300 BRL,No,,Yes,http://www.scielo.br/revistas/reben/iinstruc.htm,,,,,,,,,Yes,http://www.scielo.br/revistas/reben/iaboutj.htm,,,RT1-120,Medicine: Nursing,No,2007-11-15T14:10:14Z,2019-12-05T18:52:19Z,6653,2023-03-07T07:31:06Z
Revista Brasileira de Oftalmologia,https://www.scielo.br/j/rbof/,https://doaj.org/toc/375ec4946dc9472db9cbb668c680cae6,2007,,0034-7280,1982-8551,ophthalmology,"Spanish, Portuguese, English",Sociedade Brasileira de Oftalmologia,Brazil,,,CC BY,,https://www.scielo.br/journal/rbof/about/,Yes,https://www.scielo.br/j/rbof/a/pkQrSjKsM7nHPNJ8RpHBgBz/?format=pdf&lang=pt,No,https://www.scielo.br/journal/rbof/about/#instructions,Blind peer review,https://www.scielo.br/journal/rbof/about/#instructions,Yes,https://www.scielo.br/journal/rbof/about/#instructions,https://www.scielo.br/journal/rbof/about/#instructions,https://www.scielo.br/journal/rbof/about/#editors,https://www.scielo.br/journal/rbof/about/#instructions,13,No,https://www.scielo.br/journal/rbof/about/#instructions,,No,,No,,Cariniana Network,,https://portal.issn.org/resource/ISSN/1982-8551,,,DOI,Yes,No,Yes,https://www.scielo.br/journal/rbof/about/,,,RE1-994,Medicine: Ophthalmology,No,2008-04-11T14:38:42Z,2022-03-10T07:29:07Z,1241,2023-03-07T07:33:11Z
Revista Brasileira de Política Internacional,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7329&lng=pt&nrm=iso,https://doaj.org/toc/3017ed493b1a479d8664d2c9145e4be9,1997,,0034-7329,1983-3121,"international relations, brazilian foreign policies","Spanish, Portuguese, English",Instituto Brasileiro de Relações Internacionais,Brazil,,,CC BY,,http://www.scielo.br/revistas/rbpi/iaboutj.htm#003,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292016000200202&lng=en&nrm=iso&tlng=en,No,,Double blind peer review,http://www.scielo.br/revistas/rbpi/iinstruc.htm#001,Yes,http://www.scielo.br/revistas/rbpi/iinstruc.htm,http://www.scielo.br/revistas/rbpi/iinstruc.htm,http://www.scielo.br/revistas/rbpi/iedboard.htm,http://www.scielo.br/revistas/rbpi/iinstruc.htm#002,14,No,http://www.scielo.br/revistas/rbpi/iinstruc.htm,,No,,No,,,,,,,,,,Yes,http://www.scielo.br/revistas/rbpi/isubscrp.htm,,,J|JZ2-6530,Political science: International relations,No,2005-08-24T07:48:23Z,2022-02-28T19:22:35Z,770,2023-03-07T07:31:29Z
Revista Ceres,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-737X&lng=en&nrm=iso,https://doaj.org/toc/4278bd1800a249a49b881348b1056472,2010,,0034-737X,2177-3491,"plant culture, biotechnology, veterinary medicine, food science, agricultural egineering","English, Portuguese",Universidade Federal De Viçosa,Brazil,,,CC BY,,http://www.scielo.br/revistas/rceres/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2015000500438&lng=en&nrm=iso&tlng=pt,No,,Peer review,http://www.scielo.br/revistas/rceres/iinstruc.htm,No,,http://www.scielo.br/revistas/rceres/iinstruc.htm,http://www.scielo.br/revistas/rceres/iedboard.htm,http://www.scielo.br/revistas/rceres/iinstruc.htm,16,Yes,http://www.scielo.br/revistas/rceres/iinstruc.htm,250 BRL,No,,No,http://www.scielo.br/revistas/rceres/iinstruc.htm,,,,,,DOI,,,Yes,http://www.scielo.br/revistas/rceres/isubscrp.htm,,,S1-972|TP248.13-248.65,Agriculture: Agriculture (General) | Technology: Chemical technology: Biotechnology,No,2012-05-09T10:18:38Z,2019-12-05T19:03:54Z,1367,2023-01-10T07:35:41Z
RAE: Revista de Administração de Empresas,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7590&lng=en&nrm=iso,https://doaj.org/toc/51e6aa36b7bb4c5c9a9d8d87715962ee,1961,RAE,0034-7590,2178-938X,"social sciences, administration, management","English, Portuguese, Spanish",Fundação Getulio Vargas,Brazil,Fundação Getulio Vargas,,CC BY,,http://www.scielo.br/revistas/rae/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902016000300302&lng=en&nrm=iso&tlng=en,No,,Double blind peer review,http://www.scielo.br/revistas/rae/iinstruc.htm,No,,http://www.scielo.br/revistas/rae/iaboutj.htm,http://www.scielo.br/revistas/rae/iedboard.htm,http://www.scielo.br/revistas/rae/iinstruc.htm,32,No,http://www.scielo.br/revistas/rae/iinstruc.htm,,No,,No,http://www.scielo.br/revistas/rae/iinstruc.htm,,,http://bibliotecadigital.fgv.br/ojs/index.php/rae,"Sherpa/Romeo, Diadorim",,DOI,,,Yes,http://www.scielo.br/revistas/rae/isubscrp.htm,,,HF5001-6182,Social Sciences: Commerce: Business,No,2009-06-12T13:41:15Z,2017-08-15T12:22:19Z,3968,2023-02-25T16:18:03Z
Revista de Administração Pública,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7612&lng=en&nrm=iso,https://doaj.org/toc/b7746ee74f454c23b22606c3a2cb0279,2006,RAP,0034-7612,,"applied social sciences, administration, public administration","Spanish, Portuguese, English",Fundação Getúlio Vargas,Brazil,,,CC BY,,http://www.scielo.br/revistas/rap/isubscrp.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122015000601375&lng=en&nrm=iso&tlng=en,No,,Double blind peer review,http://www.scielo.br/revistas/rap/iinstruc.htm,Yes,http://www.scielo.br/revistas/rap/iaboutj.htm#03,http://www.scielo.br/revistas/rap/iinstruc.htm,http://www.scielo.br/revistas/rap/iedboard.htm,http://www.scielo.br/revistas/rap/iinstruc.htm,12,No,http://www.scielo.br/revistas/rap/iinstruc.htm#03,,No,,No,,,,,,,,,,Yes,http://www.scielo.br/revistas/rap/isubscrp.htm,,,JF20-2112,Political science: Political institutions and public administration (General),No,2006-06-30T13:59:54Z,2022-02-28T19:29:33Z,1155,2023-01-17T07:35:56Z
Revista de Saúde Pública,https://www.scielo.br/j/rsp/,https://doaj.org/toc/e7109fddd9eb4ae2be2aa10eda80b9f7,1967,,0034-8910,1518-8787,"biological sciences, health sciences","Spanish, Portuguese, English",Universidade de São Paulo,Brazil,,,CC BY,,http://www.scielo.br/revistas/rsp/isubscrp.htm,,,No,https://www.scielo.br/journal/rsp/about/#Cpyright,Peer review,http://www.scielo.br/revistas/rsp/iinstruc.htm,Yes,http://www.scielo.br/revistas/rsp/iinstruc.htm,http://www.scielo.br/revistas/rsp/iaboutj.htm,http://www.scielo.br/revistas/rsp/iedboard.htm,http://www.scielo.br/revistas/rsp/iinstruc.htm,13,Yes,http://www.scielo.br/revistas/rsp/iinstruc.htm,1200 USD,No,,No,,,,,,,,No,No,Yes,http://www.scielo.br/revistas/rsp/isubscrp.htm,,,RA1-1270,Medicine: Public aspects of medicine,No,2004-04-23T21:31:01Z,2022-05-04T08:31:46Z,8864,2023-02-21T07:35:08Z
Revista da Sociedade Brasileira de Medicina Tropical,https://www.scielo.br/j/rsbmt/,https://doaj.org/toc/c8270970a7a540dd8b903e4892157de3,1997,Jornal Brasileiro de Medicina Tropical,0037-8682,1678-9849,health sciences,English,Sociedade Brasileira de Medicina Tropical (SBMT),Brazil,,,CC BY,,https://www.scielo.br/journal/rsbmt/about/#about,,,No,https://www.scielo.br/journal/rsbmt/about/#instructions,Peer review,http://www.scielo.br/revistas/rsbmt/iinstruc.htm,No,,http://www.scielo.br/revistas/rsbmt/iinstruc.htm,http://www.scielo.br/revistas/rsbmt/iedboard.htm,http://www.scielo.br/revistas/rsbmt/iinstruc.htm,8,No,http://www.scielo.br/revistas/rsbmt/iinstruc.htm#002,,No,,No,,,,,,,DOI,No,No,Yes,http://www.scielo.br/revistas/rsbmt/iinstruc.htm,,,RC955-962,Medicine: Internal medicine: Special situations and conditions: Arctic medicine. Tropical medicine,No,2004-04-23T21:31:01Z,2022-06-01T07:53:07Z,6667,2023-03-07T07:33:39Z
Acta Amazonica,https://www.scielo.br/j/aa/,https://doaj.org/toc/112f204683a2443e959fe54af91dd372,2003,,0044-5967,,"floristics, the amazon, botany, agronomy, forest science, zoology","English, Portuguese, Spanish",Instituto Nacional de Pesquisas da Amazônia,Brazil,,,CC BY-NC,,http://www.scielo.br/revistas/aa/iaboutj.htm,,,No,https://www.scielo.br/journal/aa/about/#about,Peer review,http://www.scielo.br/revistas/aa/iinstruc.htm,No,,http://www.scielo.br/revistas/aa/iaboutj.htm,http://www.scielo.br/revistas/aa/iedboard.htm,http://www.scielo.br/revistas/aa/iinstruc.htm,22,No,http://www.scielo.br/revistas/aa/iinstruc.htm,,No,,No,,,,,,,DOI,No,No,Yes,http://www.scielo.br/revistas/aa/isubscrp.htm,,,Q1-390,Science: Science (General),No,2004-10-08T10:10:12Z,2022-05-04T08:42:21Z,3008,2023-01-24T07:36:22Z
Revista Ciência Agronômica,https://www.scielo.br/j/rca/,https://doaj.org/toc/f78f30ade4124b9fa06783e56e6c7ce8,2010,,0045-6888,1806-6690,"animal culture, plant culture, aquaculture, forestry","Spanish, Portuguese, English",Universidade Federal do Ceará,Brazil,Universidade Federal do Ceará,Brazil,CC BY,,https://www.scielo.br/journal/rca/about/#about,Yes,https://www.scielo.br/j/rca/a/tXKQhzghch5ZhKrM5bBwfYq/?format=pdf&lang=en,No,https://www.scielo.br/journal/rca/about/#instructions,"Peer review, Double blind peer review",https://www.scielo.br/journal/rca/about/#instructions,No,,https://www.scielo.br/journal/rca/about/#instructions,https://www.scielo.br/journal/rca/about/#editors,https://www.scielo.br/journal/rca/about/#instructions,14,Yes,https://www.scielo.br/journal/rca/about/#instructions,450 BRL,No,,Yes,https://www.scielo.br/journal/rca/about/#instructions,Cariniana Network,,https://portal.issn.org/resource/ISSN/1806-6690,,,DOI,No,No,Yes,https://www.scielo.br/journal/rca/about/#instructions,,,S1-972,Agriculture: Agriculture (General),No,2012-05-09T10:35:00Z,2022-09-18T09:25:11Z,1364,2022-12-06T07:33:39Z
